archetype,categorical_field,bucket,share_pct,n_sessions
The Pair Programmer,session_shape,Marathon Workshop,33.5,57
The Pair Programmer,session_shape,Workshop,28.8,49
The Pair Programmer,session_shape,Unassigned,12.4,21
The Pair Programmer,session_shape,Marathon,10.0,17
The Pair Programmer,session_shape,One-shot,7.1,12
The Pair Programmer,session_shape,Blueprint,2.9,5
The Pair Programmer,session_shape,Scaffold,2.4,4
The Pair Programmer,session_shape,Tight Workshop,1.2,2
The Pair Programmer,session_shape,Late reveal,1.2,2
The Pair Programmer,session_shape,Clean handoff,0.6,1
The Pair Programmer,interaction_style,augmentative,72.9,124
The Pair Programmer,interaction_style,delegative,11.8,20
The Pair Programmer,interaction_style,mixed,9.4,16
The Pair Programmer,interaction_style,unknown,5.9,10
The Pair Programmer,engagement_depth,high,75.3,128
The Pair Programmer,engagement_depth,moderate,10.6,18
The Pair Programmer,engagement_depth,low,7.1,12
The Pair Programmer,engagement_depth,unknown,5.9,10
The Pair Programmer,engagement_depth,minimal,1.2,2
The Pair Programmer,task_size,large,36.5,62
The Pair Programmer,task_size,medium,32.4,55
The Pair Programmer,task_size,very_large,17.6,30
The Pair Programmer,task_size,small,13.5,23
The Pair Programmer,arc_shape,setup_first,44.1,75
The Pair Programmer,arc_shape,explore_first,25.3,43
The Pair Programmer,arc_shape,jump_in,20.6,35
The Pair Programmer,arc_shape,unknown,5.9,10
The Pair Programmer,arc_shape,iterative,4.1,7
The Pair Programmer,task_type,implementation,28.2,48
The Pair Programmer,task_type,debugging,17.1,29
The Pair Programmer,task_type,refactor,17.1,29
The Pair Programmer,task_type,other,15.3,26
The Pair Programmer,task_type,documentation,7.6,13
The Pair Programmer,task_type,unknown,5.9,10
The Pair Programmer,task_type,configuration,4.1,7
The Pair Programmer,task_type,exploration,3.5,6
The Pair Programmer,task_type,migration,1.2,2
The Quick-Turn Sprinter,session_shape,One-shot,28.9,261
The Quick-Turn Sprinter,session_shape,Unassigned,27.4,247
The Quick-Turn Sprinter,session_shape,Workshop,17.1,154
The Quick-Turn Sprinter,session_shape,Clean handoff,7.5,68
The Quick-Turn Sprinter,session_shape,Scaffold,3.5,32
The Quick-Turn Sprinter,session_shape,Drift,3.4,31
The Quick-Turn Sprinter,session_shape,Marathon Workshop,3.3,30
The Quick-Turn Sprinter,session_shape,Blueprint,3.1,28
The Quick-Turn Sprinter,session_shape,Marathon,2.8,25
The Quick-Turn Sprinter,session_shape,Tight Workshop,2.1,19
The Quick-Turn Sprinter,session_shape,Spiral,0.8,7
The Quick-Turn Sprinter,interaction_style,delegative,46.3,418
The Quick-Turn Sprinter,interaction_style,augmentative,28.9,261
The Quick-Turn Sprinter,interaction_style,unknown,14.5,131
The Quick-Turn Sprinter,interaction_style,mixed,10.2,92
The Quick-Turn Sprinter,engagement_depth,low,28.9,261
The Quick-Turn Sprinter,engagement_depth,high,24.3,219
The Quick-Turn Sprinter,engagement_depth,moderate,23.3,210
The Quick-Turn Sprinter,engagement_depth,unknown,14.5,131
The Quick-Turn Sprinter,engagement_depth,minimal,9.0,81
The Quick-Turn Sprinter,task_size,small,50.1,452
The Quick-Turn Sprinter,task_size,medium,38.6,348
The Quick-Turn Sprinter,task_size,large,10.5,95
The Quick-Turn Sprinter,task_size,very_large,0.8,7
The Quick-Turn Sprinter,arc_shape,jump_in,55.1,497
The Quick-Turn Sprinter,arc_shape,setup_first,18.3,165
The Quick-Turn Sprinter,arc_shape,unknown,14.5,131
The Quick-Turn Sprinter,arc_shape,explore_first,8.0,72
The Quick-Turn Sprinter,arc_shape,iterative,3.8,34
The Quick-Turn Sprinter,arc_shape,unclear,0.3,3
The Quick-Turn Sprinter,task_type,implementation,26.9,243
The Quick-Turn Sprinter,task_type,debugging,25.8,233
The Quick-Turn Sprinter,task_type,unknown,14.5,131
The Quick-Turn Sprinter,task_type,other,10.4,94
The Quick-Turn Sprinter,task_type,documentation,8.1,73
The Quick-Turn Sprinter,task_type,refactor,5.4,49
The Quick-Turn Sprinter,task_type,exploration,4.7,42
The Quick-Turn Sprinter,task_type,configuration,3.2,29
The Quick-Turn Sprinter,task_type,migration,0.9,8
The Showrunner,session_shape,Blueprint,19.2,203
The Showrunner,session_shape,Unassigned,18.8,198
The Showrunner,session_shape,Workshop,17.3,183
The Showrunner,session_shape,One-shot,16.9,178
The Showrunner,session_shape,Scaffold,13.9,147
The Showrunner,session_shape,Marathon Workshop,4.9,52
The Showrunner,session_shape,Clean handoff,4.7,50
The Showrunner,session_shape,Marathon,1.9,20
The Showrunner,session_shape,Tight Workshop,1.5,16
The Showrunner,session_shape,Drift,0.7,7
The Showrunner,session_shape,Late reveal,0.2,2
The Showrunner,interaction_style,delegative,45.1,476
The Showrunner,interaction_style,augmentative,35.2,372
The Showrunner,interaction_style,mixed,9.9,105
The Showrunner,interaction_style,unknown,9.8,103
The Showrunner,engagement_depth,moderate,32.9,347
The Showrunner,engagement_depth,high,32.7,345
The Showrunner,engagement_depth,low,20.9,221
The Showrunner,engagement_depth,unknown,9.8,103
The Showrunner,engagement_depth,minimal,3.8,40
The Showrunner,task_size,small,50.4,532
The Showrunner,task_size,medium,37.2,393
The Showrunner,task_size,large,10.6,112
The Showrunner,task_size,very_large,1.8,19
The Showrunner,arc_shape,setup_first,52.4,553
The Showrunner,arc_shape,jump_in,25.2,266
The Showrunner,arc_shape,unknown,9.8,103
The Showrunner,arc_shape,explore_first,9.5,100
The Showrunner,arc_shape,iterative,2.7,28
The Showrunner,arc_shape,unclear,0.6,6
The Showrunner,task_type,implementation,34.8,367
The Showrunner,task_type,debugging,14.6,154
The Showrunner,task_type,documentation,13.1,138
The Showrunner,task_type,refactor,12.5,132
The Showrunner,task_type,unknown,9.8,103
The Showrunner,task_type,other,7.0,74
The Showrunner,task_type,configuration,3.7,39
The Showrunner,task_type,exploration,3.2,34
The Showrunner,task_type,migration,1.4,15
The Runtime Mechanic,session_shape,Workshop,27.8,131
The Runtime Mechanic,session_shape,Unassigned,25.7,121
The Runtime Mechanic,session_shape,One-shot,19.5,92
The Runtime Mechanic,session_shape,Marathon Workshop,8.3,39
The Runtime Mechanic,session_shape,Tight Workshop,5.5,26
The Runtime Mechanic,session_shape,Clean handoff,5.3,25
The Runtime Mechanic,session_shape,Blueprint,3.2,15
The Runtime Mechanic,session_shape,Scaffold,1.9,9
The Runtime Mechanic,session_shape,Marathon,1.9,9
The Runtime Mechanic,session_shape,Drift,0.8,4
The Runtime Mechanic,interaction_style,augmentative,53.7,253
The Runtime Mechanic,interaction_style,delegative,29.7,140
The Runtime Mechanic,interaction_style,mixed,8.9,42
The Runtime Mechanic,interaction_style,unknown,7.6,36
The Runtime Mechanic,engagement_depth,high,46.7,220
The Runtime Mechanic,engagement_depth,moderate,27.0,127
The Runtime Mechanic,engagement_depth,low,16.3,77
The Runtime Mechanic,engagement_depth,unknown,7.6,36
The Runtime Mechanic,engagement_depth,minimal,2.3,11
The Runtime Mechanic,task_size,medium,47.3,223
The Runtime Mechanic,task_size,small,35.2,166
The Runtime Mechanic,task_size,large,16.6,78
The Runtime Mechanic,task_size,very_large,0.8,4
The Runtime Mechanic,arc_shape,jump_in,51.8,244
The Runtime Mechanic,arc_shape,explore_first,19.5,92
The Runtime Mechanic,arc_shape,setup_first,13.2,62
The Runtime Mechanic,arc_shape,unknown,7.6,36
The Runtime Mechanic,arc_shape,iterative,7.4,35
The Runtime Mechanic,arc_shape,unclear,0.4,2
The Runtime Mechanic,task_type,debugging,30.8,145
The Runtime Mechanic,task_type,implementation,27.6,130
The Runtime Mechanic,task_type,refactor,11.5,54
The Runtime Mechanic,task_type,documentation,9.8,46
The Runtime Mechanic,task_type,unknown,7.6,36
The Runtime Mechanic,task_type,configuration,4.9,23
The Runtime Mechanic,task_type,other,3.4,16
The Runtime Mechanic,task_type,exploration,2.3,11
The Runtime Mechanic,task_type,migration,2.1,10
The Spec-First Architect,session_shape,One-shot,29.2,33
The Spec-First Architect,session_shape,Unassigned,28.3,32
The Spec-First Architect,session_shape,Blueprint,23.9,27
The Spec-First Architect,session_shape,Workshop,10.6,12
The Spec-First Architect,session_shape,Clean handoff,3.5,4
The Spec-First Architect,session_shape,Tight Workshop,1.8,2
The Spec-First Architect,session_shape,Drift,0.9,1
