signal,value_type,n,mean,median,p10,p25,p75,p90
iteration_count,count,4846,9.1,4.0,1.0,2.0,9.0,20.0
tool_call_density,ratio,4846,12.721,9.000,3.000,5.333,15.667,26.367
edit_iteration_count,count,4846,3.5,2.0,0.0,1.0,4.0,8.0
research_iteration_count,count,4846,4.2,2.0,1.0,1.0,5.0,10.0
tool_diversity,ratio,4846,0.195,0.140,0.042,0.078,0.250,0.405
edit_focus,ratio,4846,0.489,0.438,0.072,0.233,0.750,1.000
course_correction_count,count,4846,1.3,1.0,0.0,0.0,1.0,3.0
late_pause_count,count,4846,1.4,0.0,0.0,0.0,1.0,3.0
median_pause_seconds,seconds,4846,4.4,4.0,2.0,3.0,5.0,6.0
prompt_length_ratio,ratio,4846,2.537,1.000,0.098,0.555,1.000,2.612
tests_attempted,bool,4846,0.287,0.000,0.000,0.000,1.000,1.000
tests_run_count,count,4846,2.0,0.0,0.0,0.0,1.0,5.0
diff_reviewed,bool,4846,0.343,0.000,0.000,0.000,1.000,1.000
