signal,signal_kind,comparison,delta_pr_yield_pp,n_high,n_low,notes
plan_edited,interpretive,present_vs_absent,+25.26,59,4787,present=42.4% / absent=17.1%
tool_diversity,deterministic,top_q_vs_bottom_q,-24.94,1211,1211,top_q_PR=6.0% / bottom_q_PR=30.9%
iteration_count,deterministic,top_q_vs_bottom_q,+23.04,1211,1211,top_q_PR=30.0% / bottom_q_PR=6.9%
research_iteration_count,deterministic,top_q_vs_bottom_q,+21.47,1211,1211,top_q_PR=28.9% / bottom_q_PR=7.4%
workflow_step_delegation,interpretive,present_vs_absent,+18.65,2634,2212,present=25.9% / absent=7.3%
edit_iteration_count,deterministic,top_q_vs_bottom_q,+17.26,1211,1211,top_q_PR=28.0% / bottom_q_PR=10.7%
course_correction_count,deterministic,top_q_vs_bottom_q,+14.78,1211,1211,top_q_PR=27.7% / bottom_q_PR=12.9%
plan_approved,interpretive,present_vs_absent,+12.91,414,4432,present=29.2% / absent=16.3%
late_pause_count,deterministic,top_q_vs_bottom_q,+12.47,1211,1211,top_q_PR=26.7% / bottom_q_PR=14.2%
tests_run_count,deterministic,top_q_vs_bottom_q,+10.73,1211,1211,top_q_PR=26.3% / bottom_q_PR=15.6%
tests_attempted,deterministic,top_q_vs_bottom_q,+10.65,1211,1211,top_q_PR=26.3% / bottom_q_PR=15.6%
diff_reviewed,deterministic,top_q_vs_bottom_q,+10.49,1211,1211,top_q_PR=24.1% / bottom_q_PR=13.6%
external_reality_disclosure,interpretive,present_vs_absent,+10.26,1079,3767,present=25.4% / absent=15.1%
requested_diff_review,interpretive,present_vs_absent,+10.02,77,4769,present=27.3% / absent=17.3%
in_review_edge_case_surface,interpretive,present_vs_absent,+8.86,700,4146,present=25.0% / absent=16.1%
intent_reframe,interpretive,present_vs_absent,+8.43,933,3913,present=24.2% / absent=15.8%
edge_case_failure_observed,interpretive,present_vs_absent,+8.40,912,3934,present=24.2% / absent=15.8%
asked_about_tradeoffs,interpretive,present_vs_absent,+8.23,380,4466,present=25.0% / absent=16.8%
post_implementation_correction,interpretive,present_vs_absent,+8.11,1061,3785,present=23.8% / absent=15.6%
rejected_approach,interpretive,present_vs_absent,+8.04,601,4245,present=24.5% / absent=16.4%
fix_request_without_specifics,interpretive,present_vs_absent,+8.03,272,4574,present=25.0% / absent=17.0%
existing_code_shared,interpretive,present_vs_absent,-7.94,367,4479,present=10.1% / absent=18.0%
constraint_added_later,interpretive,present_vs_absent,+7.91,1231,3615,present=23.3% / absent=15.4%
requested_plan_mode,interpretive,present_vs_absent,+7.76,366,4480,present=24.6% / absent=16.8%
meta_behavioral_steering,interpretive,present_vs_absent,+7.72,708,4138,present=24.0% / absent=16.3%
asked_why_choice,interpretive,present_vs_absent,+7.71,493,4353,present=24.3% / absent=16.6%
repeated_same_prompt,interpretive,present_vs_absent,+7.37,275,4571,present=24.4% / absent=17.0%
tool_call_density,deterministic,top_q_vs_bottom_q,+7.35,1211,1211,top_q_PR=19.1% / bottom_q_PR=11.7%
pointed_to_specific_issue,interpretive,present_vs_absent,+7.31,1339,3507,present=22.7% / absent=15.4%
cited_team_convention,interpretive,present_vs_absent,+7.02,317,4529,present=24.0% / absent=17.0%
edit_focus,deterministic,top_q_vs_bottom_q,-6.94,1211,1211,top_q_PR=13.1% / bottom_q_PR=20.1%
ran_and_reported,interpretive,present_vs_absent,+6.85,768,4078,present=23.2% / absent=16.3%
median_pause_seconds,deterministic,top_q_vs_bottom_q,+6.52,1211,1211,top_q_PR=18.7% / bottom_q_PR=12.2%
asked_for_alternative,interpretive,present_vs_absent,+5.76,464,4382,present=22.6% / absent=16.9%
change_request_specific,interpretive,present_vs_absent,+5.66,1279,3567,present=21.6% / absent=15.9%
change_request_vague,interpretive,present_vs_absent,+5.03,139,4707,present=22.3% / absent=17.3%
context_loading_directive,interpretive,present_vs_absent,+4.03,1832,3014,present=19.9% / absent=15.9%
test_or_spec_provided,interpretive,present_vs_absent,-4.01,837,4009,present=14.1% / absent=18.1%
error_repaste,interpretive,present_vs_absent,-3.93,37,4809,present=13.5% / absent=17.4%
safety_constraint_set,interpretive,present_vs_absent,+2.60,491,4355,present=19.8% / absent=17.1%
decomposition,interpretive,present_vs_absent,+2.53,1972,2874,present=18.9% / absent=16.4%
problem_statement_explicit,interpretive,present_vs_absent,+2.50,3348,1498,present=18.2% / absent=15.7%
subagent_explicitly_delegated,interpretive,present_vs_absent,+1.88,455,4391,present=19.1% / absent=17.2%
accept_verbatim_no_question,interpretive,present_vs_absent,+1.30,495,4351,present=18.6% / absent=17.3%
prompt_length_ratio,deterministic,top_q_vs_bottom_q,-0.91,1211,1211,top_q_PR=22.5% / bottom_q_PR=23.4%
tool_use_steering,interpretive,present_vs_absent,+0.58,513,4333,present=17.9% / absent=17.4%
