signal,category,rate_pct,mean_strength
problem_statement_explicit,behavior,77.2,2.2
cited_team_convention,behavior,7.3,2.1
context_loading_directive,behavior,42.3,1.9
existing_code_shared,behavior,8.5,2.0
test_or_spec_provided,behavior,19.3,2.1
decomposition,behavior,45.5,2.5
requested_plan_mode,behavior,8.4,2.2
plan_approved,behavior,9.5,1.4
plan_rejected,behavior,0.3,2.6
plan_edited,behavior,1.4,2.5
pointed_to_specific_issue,behavior,30.9,2.3
ran_and_reported,behavior,17.7,2.2
asked_why_choice,behavior,11.4,1.9
asked_for_alternative,behavior,10.7,1.9
asked_about_tradeoffs,behavior,8.8,1.9
requested_diff_review,behavior,1.8,1.9
rejected_approach,behavior,13.9,2.2
constraint_added_later,behavior,28.4,1.9
change_request_specific,behavior,29.5,2.1
change_request_vague,behavior,3.2,1.2
tool_use_steering,behavior,11.8,2.1
subagent_explicitly_delegated,behavior,10.5,2.3
workflow_step_delegation,behavior,60.7,2.1
safety_constraint_set,behavior,11.3,1.9
meta_behavioral_steering,behavior,16.3,2.2
accept_verbatim_no_question,behavior,11.4,
fix_request_without_specifics,behavior,6.3,
repeated_same_prompt,behavior,6.3,
error_repaste,behavior,0.9,
post_implementation_correction,behavior,24.5,
in_review_edge_case_surface,behavior,16.1,
external_reality_disclosure,behavior,24.9,
intent_reframe,behavior,21.5,
edge_case_failure_observed,behavior,21.0,
